artist,song,emotion,variance,Genre,Release Date,Key,Tempo,Loudness,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness
ABBA,She's My Kind Of Girl,joy,0.447619048,pop,2014,F Maj,128,-6,No,31,78,56,60,3,31,7,0
ABBA,"Andante, Andante",love,0.202222222,pop,1980,A# Maj,102,-10.72,No,59,36,52,38,2,7,68,0
ABBA,As Good As New,sadness,0.300880759,pop,1979,E Maj,139,-5.7,No,50,78,85,97,3,8,20,2
ABBA,Bang,joy,0.355,pop,1975,F Maj,132,-3,No,52,76,50,89,3,32,3,0
ABBA,Bang-A-Boomerang,joy,0.355,pop,1975,F Maj,132,-3,No,52,76,50,89,3,32,3,0
ABBA,Burning My Bridges,anger,-0.339935065,pop,2013,C Maj,135,-7,No,34,92,40,43,4,31,9,0
ABBA,Cassandra,sadness,-0.097061347,pop,1981,C Maj,160,-12.62,No,39,35,32,42,4,7,72,0
ABBA,Chiquitita,sadness,0.105383838,pop,1979,A Maj,84,-8.11,No,74,55,50,37,4,31,73,0
ABBA,Crazy World,surprise,-0.20530303,pop,1975,G# Maj,135,-9.07,No,39,60,50,55,3,29,38,0
ABBA,Crying Over You,anger,-0.06875,pop,2007,C# Maj,130,-6.94,No,56,72,51,50,7,28,20,0
ABBA,Dance,sadness,0.023529412,pop,1974,G# Maj,132,-6,No,50,88,58,48,7,39,36,0
ABBA,Dancing Queen,joy,0.169307359,pop,1976,A Maj,101,-6.51,No,87,87,54,75,4,79,36,0
ABBA,Disillusion,joy,-0.022530864,pop,1973,G Maj,142,-12.9,No,36,37,58,44,3,11,50,0
ABBA,Does Your Mother Know,joy,0.190527066,pop,1979,G Maj,136,-5.68,No,71,86,73,98,4,9,15,0
ABBA,Dream World,joy,0.180547619,pop,1994,A Maj,128,-10.66,No,30,60,64,90,3,9,5,0
ABBA,Dum Dum Diddle,sadness,-0.213505747,pop,1976,E Maj,127,-7,No,46,82,67,88,3,31,23,0
ABBA,Eagle,joy,0.322068182,pop,1977,D Maj,85,-6.7,No,52,76,48,55,3,20,22,0
ABBA,Every Good Man,sadness,0.1,pop,1976,D Maj,107,-7.07,No,72,73,55,91,3,24,4,0
ABBA,Fernando,fear,0.15,pop,1976,A Maj,111,-8.88,No,72,54,35,43,3,8,63,0
ABBA,Fernando (In Spanish),joy,0,pop,2015,A Maj,104,-10.25,No,6,42,73,46,4,12,91,85
ABBA,Free As A Bumble Bee,sadness,0.231313131,pop,2013,C Maj,135,-7,No,34,92,40,43,4,31,9,0
ABBA,From A Twinkling Star To A Passing Angel,sadness,-0.007582583,pop,1981,G Maj,120,-16.76,No,31,18,40,21,4,30,72,0
ABBA,Gimme Gimme Gimme,sadness,-0.05625,pop,1979,A# Maj,120,-9.66,No,83,49,75,54,4,16,2,1
ABBA,Givin' A Little Bit More,sadness,0.196590909,pop,2013,C Maj,135,-7,No,34,92,40,43,4,31,9,0
ABBA,Gonna Sing You My Lovesong,joy,0.371387521,pop,2014,A Maj,156,-11.19,No,0,62,63,34,5,11,83,82
ABBA,Hamlet III,sadness,0.033035714,pop,2020,C Maj,131,-23.27,No,5,13,66,23,5,10,98,91
ABBA,Happy Hawaii,joy,0.339818296,pop,1976,C Maj,118,-7.33,No,42,78,52,33,4,38,29,0
ABBA,Happy New Year,sadness,0.325689326,pop,1980,A Maj,133,-9.19,No,56,38,51,25,3,14,81,0
ABBA,He Is Your Brother,sadness,0.15181224,pop,1973,E Maj,179,-9,No,32,76,42,96,3,10,5,0
ABBA,Head Over Heels,joy,0.09662037,pop,1981,C# min,122,-13.23,No,56,54,83,79,4,11,60,0
ABBA,Here We'll Stay,love,0.341666667,pop,2013,C Maj,135,-7,No,34,92,40,43,4,31,9,0
ABBA,Hey Hey Helen,joy,0.21065699,pop,1975,D Maj,118,-6.65,No,42,67,65,77,4,6,0,2
ABBA,Hole In Your Soul,sadness,-0.222776195,pop,1977,E Maj,155,-5.55,No,43,81,40,62,9,34,8,2
ABBA,"Honey, Honey",sadness,0.138991597,pop,1974,F Maj,141,-7.76,No,68,80,47,76,5,55,31,0
ABBA,I Am Just A Girl,joy,0.293506494,pop,2014,E Maj,99,-9.97,No,33,35,42,40,3,16,64,0
ABBA,I Am The City,fear,0.189654195,pop,2014,A Maj,134,-5.85,No,33,86,77,95,3,7,18,0
ABBA,"I Do, I Do, I Do, I Do, I Do",sadness,0.291319444,pop,1975,C Maj,111,-4,No,63,81,46,75,4,35,68,2
ABBA,I Have A Dream,joy,0.141071429,pop,1979,A# Maj,104,-12.05,No,66,37,55,44,2,18,60,0
ABBA,I Let The Music Speak,fear,0.057209047,pop,1981,C min,80,-14.24,No,36,18,39,20,3,6,82,0
ABBA,I Saw It In The Mirror,sadness,0.134375,pop,1973,F Maj,109,-13.14,No,27,29,76,46,4,11,28,0
ABBA,I Wonder (Departure),joy,0.067745536,pop,1977,C Maj,135,-11.13,No,36,25,37,23,3,12,52,0
ABBA,I Wonder (Departure) [Live],joy,0.067745536,pop,1994,C Maj,68,-11.35,No,24,30,36,26,3,17,51,0
ABBA,If It Wasn't For The Nights,sadness,0.061538462,pop,1979,A Maj,106,-4.69,No,56,88,70,87,4,21,29,0
ABBA,I'm A Marionette,joy,-0.094293478,pop,1977,E min,150,-6.81,No,37,66,46,14,4,11,38,0
ABBA,I've Been Waiting For You,joy,0.229824561,pop,1975,A Maj,154,-5.86,No,55,57,39,44,3,11,65,0
ABBA,Juper Jrouper,sadness,0.012529036,pop,2022,B min,97,-7,No,61,66,83,20,14,25,56,24
ABBA,Just A Notion,joy,0.36,pop,2021,C Maj,132,-6,No,53,80,58,83,3,30,26,0
ABBA,King Kong Song,surprise,-0.060790598,pop,2014,D Maj,155,-7.39,No,32,90,52,85,3,9,6,0
ABBA,Kisses Of Fire,joy,0.310606061,pop,1979,C# min,135,-7,No,50,75,59,62,5,43,15,0
ABBA,Knowing Me Knowing You,joy,0.139444444,pop,1976,D Maj,107,-7.07,No,72,73,55,91,3,24,4,0
ABBA,Lay All Your Love On Me,anger,0.250698287,pop,1980,D min,133,-7.84,No,79,73,68,71,3,35,12,0
ABBA,Like An Angel Passing Through My Room,sadness,0.033333333,pop,1981,F Maj,107,-27.45,No,36,4,46,27,4,39,68,0
ABBA,Love Has It's Ways,fear,0.36048951,pop,2021,F Maj,75,-8.49,No,50,34,44,38,3,13,41,0
ABBA,Love Isn't Easy,love,0.280492424,pop,1973,A Maj,127,-11.23,No,32,58,73,96,3,8,10,0
ABBA,Lovelight,sadness,0.099801587,pop,1979,C Maj,125,-5.94,No,42,72,56,69,3,40,9,0
ABBA,Lovers,joy,0.057199776,pop,1979,F# min,173,-6.37,No,44,73,52,73,5,31,17,0
ABBA,Mamma Mia,sadness,-0.017628205,pop,1975,D Maj,138,-7.01,No,80,75,75,83,3,47,30,0
ABBA,Man In The Middle,anger,0.067708333,pop,1975,C Maj,166,-10.3,No,37,67,65,96,6,5,14,0
ABBA,Me And Bobby And Bobby's Brother,joy,0.22953125,pop,1973,F Maj,129,-10.09,No,27,53,76,74,3,8,37,0
ABBA,Me And I,anger,0.065568182,pop,1980,E Maj,113,-8.13,No,46,78,66,60,3,14,18,7
ABBA,Merry-Go-Round,sadness,0.149193548,pop,1973,D Maj,96,-6.75,No,25,64,50,84,3,33,14,0
ABBA,Midnight Special,love,0.300459482,pop,2016,C Maj,125,-4.88,No,0,81,38,55,4,26,14,53
ABBA,Money Money Money,sadness,0.088371599,pop,1976,A min,121,-6.87,No,74,70,79,65,4,9,54,0
ABBA,Move On,fear,0.033333333,pop,1977,A# Maj,97,-8.9,No,50,56,57,80,3,78,32,0
ABBA,"My Love, My Life",sadness,0.350416667,pop,1976,C Maj,149,-7.53,No,53,42,21,25,3,11,78,0
ABBA,My Mama Said,sadness,0.083838384,pop,1974,D Maj,105,-11,No,33,72,60,81,10,25,52,0
ABBA,"Nina, Pretty Ballerina",fear,0.106237184,pop,1973,C Maj,125,-10.72,No,39,72,74,90,3,6,7,3
ABBA,On And On And On,joy,-0.104945055,pop,1980,F Maj,128,-6,No,54,91,71,94,3,16,27,7
ABBA,"One Man, One Woman",sadness,0.060141329,pop,1977,A Maj,72,-7.93,No,45,52,48,55,3,15,53,0
ABBA,One Of Us,sadness,-0.106944444,pop,1981,G Maj,82,-15.25,No,65,40,65,86,4,7,48,0
ABBA,Our Last Summer,joy,0.091922683,pop,1980,D Maj,98,-7.89,No,62,53,50,41,2,43,72,0
ABBA,People Need Love,sadness,0.406790123,pop,1973,B Maj,78,-9.57,No,52,55,57,88,4,9,18,0
ABBA,Pick A Bale Of Cotton,joy,-0.155555556,pop,1975,A Maj,168,-4.4,No,35,95,34,62,24,6,3,0
ABBA,Put On Your White Sombrero,joy,0.177705628,pop,1980,C Maj,82,-7.73,No,38,60,46,59,3,31,62,0
ABBA,Reina Danzante,sadness,0.169307359,pop,2024,F# Maj,100,-6.18,No,12,60,59,62,2,12,31,0
ABBA,Rikky Rock'n'Roller,joy,0.272494172,pop,2013,C Maj,135,-7,No,34,92,40,43,4,31,9,0
ABBA,Ring Ring,sadness,-0.009986772,pop,1973,A Maj,137,-9,No,60,88,56,97,3,9,1,0
ABBA,Rock Me,love,0.300892857,pop,1975,B Maj,133,-5,No,45,86,69,74,9,50,54,0
ABBA,Rock 'n Roll Band,love,0.211111111,pop,1973,A Maj,134,-7.65,No,24,81,57,86,3,17,9,0
ABBA,Rubber Ball Man,joy,0.289814815,pop,2014,D Maj,108,-9.53,No,38,94,42,26,34,45,5,0
ABBA,S. O. S.,joy,0.31712963,pop,1980,D min,133,-7.84,No,79,73,68,71,3,35,12,0
ABBA,Should I Laugh Or Cry,joy,0.049487179,pop,2014,A# Maj,106,-9.45,No,30,62,76,55,3,18,10,5
ABBA,Sitting In The Palmtree,anger,0.180381944,pop,1974,D Maj,113,-12.84,No,35,33,86,88,4,8,75,0
ABBA,Slipping Through My Fingers,joy,0.125611111,pop,1981,F Maj,137,-16,No,74,26,48,34,3,11,80,0
ABBA,So Long,love,0.003330116,pop,1975,G Maj,159,-4.73,No,51,90,31,77,5,34,3,85
ABBA,Soldiers,fear,-0.098137255,pop,1981,A Maj,89,-14.91,No,38,44,56,92,3,5,20,0
ABBA,SOS,sadness,-0.075793651,pop,1975,F Maj,125,-5.55,No,72,71,42,58,3,29,25,0
ABBA,Summer Night City,joy,0.169774184,pop,1979,G min,131,-5.66,No,53,86,48,76,4,18,1,0
ABBA,Suzy-Hang-Around,sadness,0.316592262,pop,1974,G# Maj,144,-9.83,No,30,58,21,62,3,25,16,2
ABBA,Take A Chance,sadness,0.259821429,pop,1977,B Maj,107,-8.12,No,79,68,68,92,3,24,16,0
ABBA,Take A Chance On Me,sadness,0.311904762,pop,1977,B Maj,107,-8.12,No,79,68,68,92,3,24,16,0
ABBA,Thank You For The Music,joy,0.426445124,pop,1977,E Maj,101,-9.12,No,66,42,28,37,4,10,84,0
ABBA,That's Me,joy,0.33452381,pop,1976,F# Maj,129,-6.65,No,48,86,56,84,3,24,17,0
ABBA,The Day Before You Came,joy,0.086947279,pop,1981,C min,108,-15,No,55,39,80,74,4,5,5,0
ABBA,The King Has Lost His Crown,sadness,-0.094423401,pop,1979,G Maj,115,-8.24,No,44,56,72,45,3,6,16,0
ABBA,The Name Of The Game,fear,-0.0753367,pop,1977,A Maj,77,-8.72,No,63,56,66,62,3,6,36,0
ABBA,The Piper,fear,-0.057692308,pop,1980,A Maj,177,-9,No,44,55,42,42,3,9,28,0
ABBA,The Visitors,sadness,-0.066666667,pop,1981,D Maj,131,-15.53,No,45,44,63,73,3,7,8,0
ABBA,The Way Old Friends Do,joy,0.186363636,pop,1980,D Maj,165,-9,No,42,50,10,30,3,36,72,0
ABBA,The Winner Takes It All,sadness,-0.167768959,pop,1980,F# Maj,126,-6.75,No,77,79,45,52,4,9,57,0
ABBA,Tiger,fear,-0.110526316,pop,1976,G# Maj,135,-6,No,44,91,57,84,4,11,28,0
ABBA,Tropical Loveland,joy,0.471428571,pop,1975,A# Maj,82,-10.57,No,38,47,66,84,6,7,53,0
ABBA,Two For The Price Of One,sadness,0.135714286,pop,1981,D Maj,112,-16.55,No,36,32,69,74,4,32,48,21
ABBA,Under Attack,fear,-0.073384354,pop,1981,E Maj,116,-15.3,No,52,46,89,96,5,9,22,4
ABBA,Voulez Vous,joy,0.081770833,pop,1979,B min,127,-6.93,No,73,77,71,90,4,17,15,0
ABBA,Watch Out,anger,0.024358974,pop,1974,A Maj,131,-7.78,No,32,88,61,68,6,25,2,1
ABBA,Waterloo,sadness,0.353846154,pop,1974,D Maj,148,-4.68,No,77,95,44,65,5,9,40,0
ABBA,We Wish You A Merry Christmas,joy,0.4716141,pop,2019,F# Maj,142,-15.21,No,0,26,27,19,5,12,99,0
ABBA,What About Livingstone,joy,0.258333333,pop,1974,F Maj,148,-7,No,31,67,69,86,5,8,50,0
ABBA,When All Is Said And Done,fear,0.182275132,pop,1981,D Maj,126,-14.89,No,56,46,72,75,4,28,47,0
ABBA,When I Kissed The Teacher,fear,0.144444444,pop,1976,D# Maj,154,-5.8,No,61,94,53,71,4,6,52,0
ABBA,Why Did It Have To Be Me?,sadness,0.050333333,pop,1976,D Maj,117,-6.22,No,58,90,56,86,4,54,52,1
ABBA,You Owe Me One,anger,0.100657895,pop,1981,A Maj,125,-11.6,No,33,91,87,96,3,7,8,0
Ace Of Base,"Always Have, Always Will",surprise,0.079225933,pop,1998,A# Maj,138,-3,No,45,91,68,95,3,5,3,0
Ace Of Base,Cecilia,joy,0.231295094,pop,1998,E Maj,137,-5.14,No,20,95,68,56,8,10,17,0
Ace Of Base,Don't Stop,joy,0.439015152,pop,2015,A# Maj,155,-5.6,No,11,82,60,80,4,15,1,1
Ace Of Base,Edge Of Heaven,sadness,0.172649573,pop,1995,A# min,126,-9.95,No,31,68,63,57,3,9,3,0
Ace Of Base,Fashion Party,joy,0.347222222,pop,1992,C Maj,126,-5.6,No,37,94,66,61,3,28,0,72
Ace Of Base,Happy Nation,joy,0.48,pop,1992,C# Maj,96,-5.13,No,80,86,67,67,4,8,0,0
Ace Of Base,Hey Darling,love,0.21875,pop,2002,B min,126,-3.91,No,18,81,71,88,3,14,14,0
Ace Of Base,Life Is A Flower,joy,0.211919192,pop,1998,B min,96,-6,No,57,80,64,56,4,23,2,0
Ace Of Base,"Mercy, Mercy",joy,0.073391813,pop,2015,F min,101,-5,No,13,73,71,83,3,18,2,0
Ace Of Base,Never Gonna Say I'm Sorry,joy,0.15162037,pop,1995,G Maj,99,-7,No,48,88,75,84,3,8,14,27
Ace Of Base,Perfect World,joy,0.513333333,pop,1995,D min,95,-7.6,No,24,77,72,72,4,10,4,18
Ace Of Base,Who Am I,joy,0.166049383,pop,2011,A# min,83,-5.12,No,17,65,33,37,3,11,49,0
Adam Sandler,Camp Granada,joy,-0.013392857,comedy,2011,C Maj,158,-24,Yes,43,20,45,43,5,11,5,0
Adam Sandler,Creepin' On The Mayor,anger,-0.121830357,comedy,2023,D Maj,100,-14.37,No,42,26,69,32,8,5,79,0
Adam Sandler,Love Stinks,anger,-0.08125,comedy,2023,C# Maj,93,-16.42,No,40,15,59,52,54,31,90,0
Adam Sandler,Mr. Bake-O,anger,-0.022395833,comedy,1996,G Maj,74,-5.9,Yes,25,69,38,27,4,7,15,0
Adam Sandler,Steve Polychronopolous,anger,-0.09053288,comedy,1996,D Maj,121,-6.48,Yes,26,52,78,57,6,51,17,0
Adam Sandler,The Adventures Of The Cow,joy,-0.068893098,comedy,1996,A Maj,131,-8.76,Yes,41,46,79,60,6,14,36,0
Adam Sandler,The Psychotic Legend Of Uncle Donnie,joy,-0.033653846,comedy,2011,C Maj,158,-24,Yes,43,20,45,43,5,11,5,0
Adam Sandler,Welcome My Son,joy,0.284868421,comedy,1999,F Maj,109,-9.46,Yes,14,34,53,48,6,13,84,0
Adele,All I Ask,anger,-0.069444444,pop,2015,E Maj,142,-5.49,No,75,28,59,35,3,12,89,0
Adele,Can't Let Go,sadness,-0.10537037,pop,2016,D Maj,84,-15.75,No,2,31,61,13,4,13,98,89
Adele,Crazy For You,fear,-0.227037037,pop,2008,G Maj,86,-12.3,No,54,14,71,32,5,10,91,0
Adele,Daydreamer,joy,0.05462963,pop,2008,A Maj,109,-13.19,No,58,10,81,37,4,10,96,0
Adele,Hello,sadness,-0.153666667,pop,2015,F min,79,-6.13,No,77,43,58,29,3,9,33,0
Adele,I Miss You,love,-0.066407515,pop,2015,F Maj,113,-4.25,No,63,58,38,16,5,43,1,0
Adele,Melt My Heart To Stone,sadness,0.268180482,pop,2008,B min,81,-7.09,No,53,39,35,19,4,22,35,0
Adele,Need You Know,sadness,-0.053571429,pop,2015,D# Maj,144,-5.94,No,80,60,38,26,5,10,30,0
Adele,Now And Then,sadness,-0.022222222,pop,2012,F# Maj,128,-22.8,No,0,7,23,6,4,11,90,66
Adele,Someone Like You,sadness,0.249758454,pop,2011,A Maj,135,-8.25,No,84,32,56,29,3,10,89,0
Adele,Think That I Get Told The Court,joy,0.308420139,pop,2021,C# Maj,88,-3.91,No,79,72,53,55,5,3,9,0
Adele,You'll Never See Me Again,sadness,0.333333333,pop,2019,F# min,88,-5.65,No,55,46,49,32,4,23,44,0
Aerosmith,All Your Love,love,0.184375,rock,1991,D Maj,95,-9.48,No,17,83,38,85,3,18,13,13
Aerosmith,Bacon Biscuit Blues,joy,-0.06,rock,1975,F Maj,109,-10.61,No,77,73,65,89,4,8,1,0
Aerosmith,Blind Man,joy,0.087152778,rock,1994,A Maj,78,-5.48,No,36,72,44,38,3,6,0,0
Aerosmith,Draw The Line,anger,0.049955908,rock,1977,A Maj,143,-4,No,44,98,32,67,8,20,5,68
Aerosmith,Eat The Rich,joy,0.22718254,rock,1993,B min,123,-5,No,55,93,57,66,5,36,0,0
Aerosmith,Falling In Love,sadness,-0.074090038,rock,1997,G min,117,-4.47,Yes,50,87,61,86,3,13,2,0
Aerosmith,Fever,joy,0.108881674,rock,1993,A Maj,90,-3.82,No,39,99,52,47,10,20,1,0
Aerosmith,Get It Up,joy,0.319555556,rock,1977,D Maj,120,-5.9,No,26,92,48,47,9,32,2,0
Aerosmith,I Ain't Got You,joy,0.158730159,rock,1978,G Maj,147,-6.5,No,22,85,54,71,9,44,37,0
Aerosmith,I'm Ready,joy,0.243534483,rock,2004,A Maj,134,-6,No,24,83,47,53,5,25,1,2
Aerosmith,Janie's Got A Gun,anger,0.069713719,rock,1994,F Maj,115,-5.79,No,64,82,63,44,3,19,5,0
Aerosmith,Lay It Down,joy,-0.013972663,rock,1973,C# Maj,78,-7.58,No,84,48,39,23,2,31,40,0
Aerosmith,Love In An Elevator,joy,0.249076618,rock,1994,E Maj,94,-4.31,No,57,96,45,60,7,34,1,0
Aerosmith,Love Me Like A Bird Dog,anger,0.245719955,rock,1998,D Maj,121,-5.16,No,77,65,39,14,3,22,17,0
Aerosmith,Love Me Two Times,sadness,0.43,rock,2016,A Maj,132,-9.16,No,0,41,78,96,17,4,0,84
Aerosmith,Luv Lies,sadness,0.261363636,rock,2001,G Maj,136,-5,No,34,80,35,41,4,6,1,0
Aerosmith,Magic Touch,anger,0.232971014,rock,1987,D Maj,124,-3.63,No,36,95,48,36,10,20,0,0
Aerosmith,Make It,joy,0.154444444,rock,1973,C Maj,138,-5.9,No,42,84,55,60,3,16,5,16
Aerosmith,Mama Kin,joy,0.053819444,rock,1973,E Maj,153,-7,No,54,88,42,86,5,25,12,0
Aerosmith,Melt Down,anger,-0.009260345,rock,1973,C# Maj,78,-7.58,No,84,48,39,23,2,31,40,0
Aerosmith,Mia,love,0.223553719,rock,1979,C min,75,-8.73,No,25,32,49,7,3,12,40,0
Aerosmith,Milkcow Blues,sadness,0.192416226,rock,1998,D Maj,121,-5.16,No,77,65,39,14,3,22,17,0
Aerosmith,Monkey On My Back,anger,0.058333333,rock,1989,D Maj,124,-3.86,No,35,98,52,35,8,34,1,2
Aerosmith,Mother Popcorn,joy,0.19,rock,1978,D Maj,115,-7.74,No,21,67,47,54,13,68,16,0
Aerosmith,Movin' Out,joy,0.124675325,rock,1973,D Maj,160,-6.86,No,39,75,46,52,6,8,29,0
Aerosmith,My Fist Your Face,anger,0.135034014,rock,1985,A Maj,138,-10.65,No,27,88,46,74,5,9,2,0
Aerosmith,My Girl,anger,0.185897436,rock,1989,A Maj,103,-3.25,No,30,98,46,55,3,41,6,0
Aerosmith,Never Loved A Girl,sadness,-0.141904762,rock,2004,A Maj,137,-5.35,No,28,76,49,82,4,43,16,0
Aerosmith,No More No More,anger,-0.106423611,rock,1975,E Maj,133,-9.91,No,47,86,44,72,3,35,1,9
Aerosmith,No Surprize,joy,0.102477785,rock,1979,E Maj,139,-5,No,30,93,49,43,4,24,0,17
Aerosmith,Nobody's Fault,sadness,-0.247222222,rock,1976,F min,89,-5.58,No,39,95,46,59,4,44,6,0
Aerosmith,Oasis In The Night,sadness,0.101785714,rock,2012,C Maj,150,-8.66,No,20,49,43,57,4,14,60,0
Aerosmith,On The Road Again,love,-0.041481481,rock,1991,F# min,149,-12.32,No,18,53,53,70,25,13,40,0
Aerosmith,Once Is Enough,anger,0.110869565,rock,1973,C# Maj,78,-7.58,No,84,48,39,23,2,31,40,0
Aerosmith,One Way Street,anger,-0.079842836,rock,1973,F Maj,130,-6.3,No,41,83,46,60,4,12,3,0
Aerosmith,Outta Your Head,joy,0.223611111,rock,2001,A Maj,112,-3.58,No,28,98,52,31,14,13,0,0
Aerosmith,Pandora's Box,joy,0.280833333,rock,1974,D Maj,114,-5.68,No,31,80,62,75,3,5,3,0
Aerosmith,Permanent Vacation,love,0.195881226,rock,1987,D Maj,135,-4.62,No,38,97,52,80,6,37,5,0
Aerosmith,Pink,joy,0.083686869,rock,1997,C Maj,172,-4.71,No,65,77,47,83,4,14,1,0
Aerosmith,Prelude To Joanie,fear,0.058333333,rock,1982,E Maj,168,-22.79,No,17,11,20,4,4,12,91,34
Aerosmith,Push Comes To Shove,love,0.015151515,rock,1982,C# Maj,83,-8.33,No,19,62,64,62,3,65,29,0
Aerosmith,Rag Doll,sadness,0.122735332,rock,1987,E Maj,93,-3.95,No,64,95,58,58,6,14,58,0
Aerosmith,Rats In The Cellar,joy,0.097913753,rock,1976,C# min,110,-5.99,No,38,96,34,60,7,31,0,9
Aerosmith,Rattlesnake Shake,anger,0.097142857,rock,1991,G Maj,163,-13.5,No,17,61,38,48,8,41,9,17
Aerosmith,Red House,sadness,-0.164444444,rock,1975,A Maj,99,-10.96,No,76,76,38,49,4,10,0,3
Aerosmith,Remember,joy,0.211136364,rock,1979,C min,101,-6.06,No,40,64,27,49,5,63,27,1
Aerosmith,Road Runner,love,0.24047619,rock,2004,E Maj,124,-4,No,31,98,43,38,11,9,0,0
Aerosmith,Rocket 88,joy,0.052704678,rock,1973,C# Maj,78,-7.58,No,84,48,39,23,2,31,40,0
Aerosmith,Rockin' Pneumonia And The Boogie Woogie Flu,fear,0.0375,rock,1975,F Maj,109,-10.61,No,77,73,65,89,4,8,1,0
Aerosmith,Round And Round,anger,0.033333333,rock,1975,A Maj,142,-11.45,No,37,62,35,40,4,66,3,2
Aerosmith,Same Old Song And Dance,sadness,0.040108401,rock,1974,A Maj,133,-6.22,No,55,80,54,57,4,39,7,0
Aerosmith,Scream In Pain,love,0.125,rock,1973,C# Maj,78,-7.58,No,84,48,39,23,2,31,40,0
Aerosmith,Seasons Of Wither,sadness,-0.071320346,rock,2023,G Maj,101,-9.2,No,32,71,24,37,4,19,6,0
Aerosmith,Sedona Sunrise,anger,0.158928571,rock,2006,A Maj,145,-6.08,No,26,72,48,33,3,11,1,0
Aerosmith,"Shame, Shame, Shame",sadness,-0.191127391,rock,2004,C Maj,184,-4,No,27,98,37,36,19,22,3,0
Aerosmith,She's On Fire,anger,-0.072839506,rock,1985,G Maj,87,-10.44,No,23,55,36,30,3,32,10,0
Aerosmith,Shut Up And Dance,joy,0.24718254,rock,1993,G Maj,130,-4.14,No,40,97,50,53,9,45,0,0
Aerosmith,Sick As A Dog,sadness,-0.132773109,rock,1976,E Maj,138,-6.09,No,39,89,38,78,4,32,1,0
Aerosmith,Sight For Sore Eyes,sadness,0.086944444,rock,1978,A Maj,119,-6.74,No,20,95,49,74,5,99,1,0
Aerosmith,Somebody,fear,0.051561065,rock,1973,B min,145,-5.5,No,38,81,56,57,4,37,51,0
Aerosmith,Something,sadness,0.05,rock,1997,D Maj,171,-4.41,No,32,98,32,43,9,18,1,0
Aerosmith,Something's Gotta Give,anger,0.291666667,rock,1997,D Maj,171,-4.41,No,32,98,32,43,9,18,1,0
Aerosmith,Spaced,sadness,-0.055555556,rock,1974,D Maj,127,-8.73,No,31,76,40,28,4,5,2,0
